value,Units,Periods
87.0,DIESEL_2,Wed-17
20.0,DIESEL_3,Wed-17
12.0,DIESEL_4,Wed-17
220.0,GAS_1,Wed-17
210.0,GAS_2,Wed-17
165.0,GAS_3,Wed-17
158.0,GAS_4,Wed-17
0.0,COAL_1,Wed-18
403.0,COAL_2,Wed-18
90.0,DIESEL_1,Wed-18
87.0,DIESEL_2,Wed-18
20.0,DIESEL_3,Wed-18
12.0,DIESEL_4,Wed-18
220.0,GAS_1,Wed-18
210.0,GAS_2,Wed-18
165.0,GAS_3,Wed-18
158.0,GAS_4,Wed-18
0.0,COAL_1,Wed-19
393.0,COAL_2,Wed-19
90.0,DIESEL_1,Wed-19
87.0,DIESEL_2,Wed-19
20.0,DIESEL_3,Wed-19
12.0,DIESEL_4,Wed-19
220.0,GAS_1,Wed-19
210.0,GAS_2,Wed-19
165.0,GAS_3,Wed-19
158.0,GAS_4,Wed-19
-1.13686837722e-13,COAL_1,Wed-20
401.0,COAL_2,Wed-20
90.0,DIESEL_1,Wed-20
87.0,DIESEL_2,Wed-20
20.0,DIESEL_3,Wed-20
12.0,DIESEL_4,Wed-20
220.0,GAS_1,Wed-20
210.0,GAS_2,Wed-20
165.0,GAS_3,Wed-20
158.0,GAS_4,Wed-20
0.0,COAL_1,Wed-21
395.0,COAL_2,Wed-21
90.0,DIESEL_1,Wed-21
87.0,DIESEL_2,Wed-21
20.0,DIESEL_3,Wed-21
12.0,DIESEL_4,Wed-21
220.0,GAS_1,Wed-21
210.0,GAS_2,Wed-21
165.0,GAS_3,Wed-21
158.0,GAS_4,Wed-21
0.0,COAL_1,Wed-22
373.0,COAL_2,Wed-22
90.0,DIESEL_1,Wed-22
87.0,DIESEL_2,Wed-22
20.0,DIESEL_3,Wed-22
12.0,DIESEL_4,Wed-22
220.0,GAS_1,Wed-22
210.0,GAS_2,Wed-22
165.0,GAS_3,Wed-22
158.0,GAS_4,Wed-22
3.97903932026e-13,COAL_1,Wed-23
349.0,COAL_2,Wed-23
90.0,DIESEL_1,Wed-23
87.0,DIESEL_2,Wed-23
20.0,DIESEL_3,Wed-23
12.0,DIESEL_4,Wed-23
220.0,GAS_1,Wed-23
210.0,GAS_2,Wed-23
165.0,GAS_3,Wed-23
158.0,GAS_4,Wed-23
0.0,COAL_1,Thu-00
327.0,COAL_2,Thu-00
90.0,DIESEL_1,Thu-00
87.0,DIESEL_2,Thu-00
20.0,DIESEL_3,Thu-00
12.0,DIESEL_4,Thu-00
220.0,GAS_1,Thu-00
210.0,GAS_2,Thu-00
165.0,GAS_3,Thu-00
158.0,GAS_4,Thu-00
0.0,COAL_1,Thu-01
315.0,COAL_2,Thu-01
90.0,DIESEL_1,Thu-01
87.0,DIESEL_2,Thu-01
20.0,DIESEL_3,Thu-01
12.0,DIESEL_4,Thu-01
220.0,GAS_1,Thu-01
210.0,GAS_2,Thu-01
165.0,GAS_3,Thu-01
158.0,GAS_4,Thu-01
0.0,COAL_1,Thu-02
303.0,COAL_2,Thu-02
90.0,DIESEL_1,Thu-02
87.0,DIESEL_2,Thu-02
20.0,DIESEL_3,Thu-02
12.0,DIESEL_4,Thu-02
220.0,GAS_1,Thu-02
210.0,GAS_2,Thu-02
165.0,GAS_3,Thu-02
158.0,GAS_4,Thu-02
0.0,COAL_1,Thu-03
293.0,COAL_2,Thu-03
90.0,DIESEL_1,Thu-03
87.0,DIESEL_2,Thu-03
20.0,DIESEL_3,Thu-03
12.0,DIESEL_4,Thu-03
220.0,GAS_1,Thu-03
210.0,GAS_2,Thu-03
165.0,GAS_3,Thu-03
158.0,GAS_4,Thu-03
0.0,COAL_1,Thu-04
296.0,COAL_2,Thu-04
90.0,DIESEL_1,Thu-04
87.0,DIESEL_2,Thu-04
20.0,DIESEL_3,Thu-04
12.0,DIESEL_4,Thu-04
220.0,GAS_1,Thu-04
210.0,GAS_2,Thu-04
165.0,GAS_3,Thu-04
158.0,GAS_4,Thu-04
0.0,COAL_1,Thu-05
324.0,COAL_2,Thu-05
90.0,DIESEL_1,Thu-05
87.0,DIESEL_2,Thu-05
20.0,DIESEL_3,Thu-05
12.0,DIESEL_4,Thu-05
220.0,GAS_1,Thu-05
210.0,GAS_2,Thu-05
165.0,GAS_3,Thu-05
158.0,GAS_4,Thu-05
0.0,COAL_1,Thu-06
367.0,COAL_2,Thu-06
90.0,DIESEL_1,Thu-06
87.0,DIESEL_2,Thu-06
20.0,DIESEL_3,Thu-06
12.0,DIESEL_4,Thu-06
220.0,GAS_1,Thu-06
210.0,GAS_2,Thu-06
165.0,GAS_3,Thu-06
158.0,GAS_4,Thu-06
166.666666667,COAL_1,Thu-07
233.333333333,COAL_2,Thu-07
90.0,DIESEL_1,Thu-07
87.0,DIESEL_2,Thu-07
20.0,DIESEL_3,Thu-07
12.0,DIESEL_4,Thu-07
220.0,GAS_1,Thu-07
210.0,GAS_2,Thu-07
165.0,GAS_3,Thu-07
158.0,GAS_4,Thu-07
