id,solutionStartTime,solutionEndTime
WORKORDER_AWRAF/0232_BEDFORD_EAGLENA,2019-04-15 06:40:00.000,2019-04-15 08:52:00.000
WORKORDER_AWRAF/0293_BEDFORD_EAGLENA,2019-04-15 06:45:00.000,2019-04-15 10:06:00.000
WORKORDER_AWRAF/0384_BEDFORD_EAGLENA,2019-04-15 06:47:00.000,2019-04-15 07:49:00.000
WORKORDER_AWRAF/0294_BEDFORD_EAGLENA,2019-04-15 06:47:00.000,2019-04-15 10:08:00.000
WORKORDER_AWRAF/0359_BEDFORD_EAGLENA,2019-04-15 06:48:00.000,2019-04-15 08:09:00.000
WORKORDER_AWRAF/0358_BEDFORD_EAGLENA,2019-04-15 06:53:00.000,2019-04-15 08:14:00.000
WORKORDER_AWRENG/0022_BEDFORD_EAGLENA,2019-04-15 06:53:00.000,2019-04-15 08:18:00.000
WORKORDER_AWRAF/0625_BEDFORD_EAGLENA,2019-04-15 07:00:00.000,2019-04-15 07:16:00.000
WORKORDER_AWRAF/0626_BEDFORD_EAGLENA,2019-04-15 07:00:00.000,2019-04-15 07:16:00.000
WORKORDER_AWRAF/0857_BEDFORD_EAGLENA,2019-04-15 07:00:00.000,2019-04-15 07:40:00.000
WORKORDER_AWRAF/0858_BEDFORD_EAGLENA,2019-04-15 07:00:00.000,2019-04-15 07:40:00.000
WORKORDER_AWRB869494001_BEDFORD_EAGLENA,2019-04-15 07:00:00.000,2019-04-15 09:00:00.000
WORKORDER_AWRB869413001_BEDFORD_EAGLENA,2019-04-15 07:00:00.000,2019-04-15 10:00:00.000
WORKORDER_AWRB870895001_BEDFORD_EAGLENA,2019-04-15 07:00:00.000,2019-04-15 10:00:00.000
WORKORDER_AWRB867206001_BEDFORD_EAGLENA,2019-04-15 07:00:00.000,2019-04-15 13:00:00.000
WORKORDER_AWRAF/0255_BEDFORD_EAGLENA,2019-04-15 07:00:00.000,2019-04-15 14:17:00.000
WORKORDER_AWRAF/0256_BEDFORD_EAGLENA,2019-04-15 07:00:00.000,2019-04-15 14:17:00.000
WORKORDER_AWRB868000001_BEDFORD_EAGLENA,2019-04-15 07:00:00.000,2019-04-15 15:00:00.000
WORKORDER_AWRB870094001_BEDFORD_EAGLENA,2019-04-15 07:00:00.000,2019-04-15 15:00:00.000
WORKORDER_AWRB871884001_BEDFORD_EAGLENA,2019-04-15 07:00:00.000,2019-04-15 16:00:00.000
WORKORDER_AWRB859620001_BEDFORD_EAGLENA,2019-04-15 07:00:00.000,2019-04-16 06:48:00.000
WORKORDER_AWRB869872001_BEDFORD_EAGLENA,2019-04-15 07:03:00.000,2019-04-15 10:03:00.000
WORKORDER_AWRAV/0144_BEDFORD_EAGLENA,2019-04-15 07:12:00.000,2019-04-15 07:42:00.000
WORKORDER_AWRAF/0386_BEDFORD_EAGLENA,2019-04-15 07:12:00.000,2019-04-15 09:13:00.000
WORKORDER_AWRB858201001_BEDFORD_EAGLENA,2019-04-15 07:13:00.000,2019-04-15 14:13:00.000
WORKORDER_AWRAF/0458_BEDFORD_EAGLENA,2019-04-15 07:16:00.000,2019-04-15 08:05:00.000
WORKORDER_AWRAF/0387_BEDFORD_EAGLENA,2019-04-15 07:16:00.000,2019-04-15 09:17:00.000
WORKORDER_AWRAF/0465_BEDFORD_EAGLENA,2019-04-15 07:35:00.000,2019-04-15 08:36:00.000
WORKORDER_AWRAF/0357_BEDFORD_EAGLENA,2019-04-15 07:35:00.000,2019-04-15 08:56:00.000
WORKORDER_AWRENG/0145_BEDFORD_EAGLENA,2019-04-15 07:35:00.000,2019-04-15 09:35:00.000
WORKORDER_AWRAF/0469_BEDFORD_EAGLENA,2019-04-15 07:35:00.000,2019-04-15 13:05:00.000
WORKORDER_AWRAF/0355_BEDFORD_EAGLENA,2019-04-15 07:40:00.000,2019-04-15 08:03:00.000
WORKORDER_AWRAF/0356_BEDFORD_EAGLENA,2019-04-15 07:40:00.000,2019-04-15 08:03:00.000
WORKORDER_AWRAV/0145_BEDFORD_EAGLENA,2019-04-15 07:42:00.000,2019-04-15 08:36:00.000
WORKORDER_A388AWR-3C-DA000_BEDFORD_EAGLENA,2019-04-15 07:42:00.000,2019-04-15 12:25:00.000
WORKORDER_AWRENG/0053_BEDFORD_EAGLENA,2019-04-15 07:42:00.000,2019-04-15 12:25:00.000
WORKORDER_AWRENG/0054_BEDFORD_EAGLENA,2019-04-15 07:42:00.000,2019-04-15 12:25:00.000
WORKORDER_AWRENG/0055_BEDFORD_EAGLENA,2019-04-15 07:43:00.000,2019-04-15 08:24:00.000
WORKORDER_AWRENG/0056_BEDFORD_EAGLENA,2019-04-15 07:45:00.000,2019-04-15 08:26:00.000
